112,Julian Day,,Shot 1,,,,,,,,,,,,,,,,,,,,,,,,
1972,Year,,G1,G2,G3,,,,,,,,,,,,,,,,,,,,,,
2001,GMT hhmm,,,,,,,,,,,,,,,,,,,,order,shot-geophone,distance,time,,shot,time
51.851,sec,,,,,,,,,,,,,,,,,,,,1,s2-g3,4.572,62,,2,62
1.886645,sample rate in msec,,,,,,,,,,,,,,,,,,,,2,s3-g2,9.144,247,,3,247
 ,delay needed in msec,,0.566,1.038,1.509,,,,,,,,,,,,,,,,3,s3-g3,9.144,91,,3,91
 , ,,,,,,,,,,,,,,,,,,,,4,s4-g2,13.716,294,,4,294
,,,,,,,,,,,,,,,,,,,,,5,s4-g3,13.716,126,,4,126
,Time,,G1,G2,G3,,,,,,,,,,,,,,,,6,s5-g2,18.288,166,,5,166
,0,,-2.10E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,7,s5-g3,18.288,162,,5,162
,1.886645,,-2.10E-02,-7.40E-02,-3.60E-02,,,,,,,,,,,,,,,,8,s6-g2,22.86,189,,6,189
,3.77329,,-3.80E-02,-7.40E-02,4.10E-01,,,,,,,,,,,,,,,,9,s6-g3,22.86,177,,6,177
,5.659935,,-3.80E-02,-7.40E-02,4.10E-01,,,,,,,,,,,,,,,,10,s7-g2,27.432,159,,7,159
,7.54658,,-3.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,11,s7-g3,27.432,215,,7,215
,9.433225,,-2.10E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,12,s8-g2,32.004,177,,8,177
,11.31987,,-3.60E-03,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,13,s8-g3,32.004,289,,8,289
,13.206515,,2.10E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,14,s9-g2,36.576,100,,9,100
,15.09316,,3.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,15,s9-g3,36.576,315,,9,315
,16.979805,,6.80E-02,-7.40E-02,-2.10E+00,,,,,,,,,,,,,,,,16,s10-g2,41.148,59,,10,59
,18.86645,,6.80E-02,-4.10E-02,-6.60E-01,,,,,,,,,,,,,,,,17,s10-g3,41.148,332,,10,332
,20.753095,,6.80E-02,-4.10E-02,-1.20E+00,,,,,,,,,,,,,,,,18,s12-g2,54.864,102,,12,102
,22.63974,,6.80E-02,-4.10E-02,-3.70E-01,,,,,,,,,,,,,,,,19,s13-g1,59.436,319,,13,319
,24.526385,,6.80E-02,-4.10E-02,1.30E-01,,,,,,,,,,,,,,,,20,s13-g2,59.436,149,,13,149
,26.41303,,3.80E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,21,s14-g1,64.008,187,,14,187
,28.299675,,2.10E-02,-2.30E-02,-2.10E+00,,,,,,,,,,,,,,,,22,s14-g2,64.008,172,,14,172
,30.18632,,6.50E-03,-1.30E-02,-2.10E+00,,,,,,,,,,,,,,,,23,s15-g1,68.58,166,,15,166
,32.072965,,-2.00E-03,-4.70E-04,-2.10E+00,,,,,,,,,,,,,,,,24,s15-g2,68.58,174,,15,174
,33.95961,,-6.50E-03,1.20E-02,-2.10E+00,,,,,,,,,,,,,,,,25,s16-g1,73.152,162,,16,162
,35.846255,,-6.50E-03,2.20E-02,-2.10E+00,,,,,,,,,,,,,,,,26,s16-g2,73.152,296,,16,296
,37.7329,,-1.20E-02,3.90E-02,-1.20E+00,,,,,,,,,,,,,,,,27,s17-g1,77.724,136,,17,136
,39.619545,,-1.20E-02,3.90E-02,-1.20E+00,,,,,,,,,,,,,,,,28,s17-g2,77.724,479,,17,479
,41.50619,,-1.20E-02,3.90E-02,-6.60E-01,,,,,,,,,,,,,,,,29,s18-g1,82.296,106,,18,106
,43.392835,,-2.10E-02,7.00E-02,-6.40E-02,,,,,,,,,,,,,,,,30,s18-g2,82.296,330,,18,330
,45.27948,,-2.10E-02,7.00E-02,4.10E-01,,,,,,,,,,,,,,,,,,,,,,
,47.166125,,-2.10E-02,7.00E-02,1.30E+00,,,,,,,,,,,,,,,,,,,,,,
,49.05277,,-2.10E-02,7.00E-02,1.30E+00,,,,,,,,,,,,,,,,,,,,,,
,50.939415,,-2.10E-02,7.00E-02,2.40E+00,,,,,,,,,,,,,,,,,,,,,,
,52.82606,,-2.10E-02,7.00E-02,-6.40E-02,,,,,,,,,,,,,,,,,,,,,,
